Time (ms),Voltage (V)
0.0,46.15
10.0,242.23
19.0,512.99
29.0,574.54
39.0,404.96
50.0,269.14
59.0,253.95
69.0,252.66
79.0,217.64
90.0,181.12
100.0,159.17
109.0,125.22
119.0,62.27
130.0,19.81
140.0,33.54
149.0,28.14
159.0,-34.26
169.0,-60.5
180.0,-25.42
189.0,-40.14
199.0,-127.52
209.0,-174.56
220.0,-156.43
229.0,-148.21
239.0,-164.55
249.0,-172.57
260.0,-149.21
270.0,-87.75
279.0,-27.74
289.0,-23.44
300.0,-54.21
310.0,-57.62
319.0,-56.7
329.0,-103.76
339.0,-150.71
350.0,-148.39
359.0,-136.5
369.0,-145.23
379.0,-162.56
390.0,-183.4
399.0,-198.64
409.0,-199.16
419.0,-194.6
430.0,-191.52
440.0,-207.21
449.0,-257.54
459.0,-287.36
470.0,-254.41
480.0,-215.4
489.0,-207.09
499.0,-213.2
509.0,-232.11
520.0,-249.0
529.0,-244.84
539.0,-216.84
549.0,-164.73
560.0,-130.11
570.0,-144.08
579.0,-172.67
589.0,-195.31
600.0,-195.66
610.0,-154.6
619.0,-106.56
629.0,-79.43
640.0,-75.24
650.0,-98.55
659.0,-108.82
669.0,-73.17
679.0,-36.49
690.0,-30.47
699.0,-34.2
709.0,-35.17
719.0,-27.04
730.0,-8.02
740.0,0.24
749.0,1.5
759.0,19.46
770.0,35.66
780.0,37.29
789.0,50.25
799.0,68.38
809.0,65.37
820.0,60.52
829.0,78.18
839.0,101.95
849.0,118.62
860.0,127.51
869.0,124.62
879.0,130.51
889.0,164.4
900.0,183.87
910.0,154.51
919.0,122.57
929.0,120.79
940.0,107.17
950.0,55.1
959.0,39.93
969.0,112.38
979.0,186.69
990.0,205.78
999.0,193.91
1009.0,164.45
1019.0,153.51
1030.0,182.36
1039.0,200.53
1049.0,183.01
1059.0,172.09
1070.0,188.55
1080.0,194.45
1089.0,167.78
1099.0,145.4
1110.0,151.86
1120.0,160.48
1129.0,152.07
1139.0,141.58
1149.0,140.33
1160.0,144.52
1169.0,150.36
1179.0,136.95
1189.0,90.21
1200.0,58.87
1210.0,74.52
1219.0,99.58
1229.0,113.82
1240.0,119.2
1250.0,101.53
1259.0,72.94
1269.0,80.4
1280.0,98.87
1290.0,40.52
1299.0,-39.28
1309.0,-13.26
1319.0,66.99
1330.0,77.37
1339.0,27.26
1349.0,-0.33
1359.0,13.49
1370.0,14.12
1380.0,-10.09
1389.0,-5.21
1399.0,40.8
1410.0,81.51
1420.0,71.25
1429.0,19.27
1439.0,-15.1
1449.0,-11.28
1460.0,-10.66
1469.0,-37.53
1479.0,-56.15
1489.0,-41.5
1500.0,-15.72
1509.0,-0.9
1519.0,-10.31
1529.0,-23.95
1540.0,-12.53
1550.0,-3.51
1559.0,-4.5
1569.0,16.02
1580.0,31.75
1590.0,0.66
1599.0,-51.54
1609.0,-78.05
1619.0,-77.76
1630.0,-74.66
1639.0,-65.78
1649.0,-47.05
1659.0,-33.5
1670.0,-25.31
1679.0,-28.89
1689.0,-49.37
1699.0,-68.61
1710.0,-81.54
1720.0,-102.18
1729.0,-141.39
1739.0,-168.24
1750.0,-139.94
1760.0,-85.83
1769.0,-59.54
1779.0,-61.11
1789.0,-57.3
1800.0,-29.14
1809.0,-2.92
1819.0,-19.46
1829.0,-54.68
1840.0,-53.38
1850.0,-34.65
1859.0,-44.47
1869.0,-68.44
1880.0,-66.37
1890.0,-43.84
1899.0,-39.92
1909.0,-51.68
1920.0,-26.11
1930.0,24.43
1939.0,7.73
1949.0,-49.85
1959.0,-41.6
1970.0,9.9
1979.0,52.27
1989.0,94.66
1999.0,100.89
2010.0,36.3
2020.0,-40.45
2029.0,-57.24
2039.0,-16.07
2050.0,17.11
2060.0,-12.78
2069.0,-64.36
2079.0,-55.97
2089.0,-14.77
2100.0,-7.2
2109.0,-8.71
2119.0,-21.03
2129.0,-98.02
2140.0,-183.76
2149.0,-162.5
2159.0,-42.22
2169.0,52.96
2180.0,46.62
2190.0,-17.34
2199.0,-67.4
2209.0,-73.4
2220.0,-45.93
2230.0,-25.45
2239.0,-35.04
2249.0,-70.06
2259.0,-103.7
2270.0,-104.32
2279.0,-83.26
2289.0,-79.86
2299.0,-107.96
2310.0,-119.57
2319.0,-81.2
2329.0,-48.15
2339.0,-46.13
2350.0,-38.72
2360.0,-27.3
2369.0,-25.57
2379.0,-27.4
2390.0,-27.72
2400.0,-14.99
2409.0,12.07
2419.0,25.02
2429.0,4.51
2440.0,-12.86
2449.0,-4.79
2459.0,-10.12
2469.0,-14.92
2480.0,-0.49
2490.0,-23.57
2499.0,-58.23
2509.0,-23.99
2520.0,32.41
2530.0,45.71
2539.0,55.86
2549.0,82.6
2560.0,67.26
2570.0,13.27
2579.0,7.63
2589.0,55.89
2599.0,78.18
2610.0,52.14
2619.0,37.13
2629.0,69.63
2639.0,88.43
2650.0,59.71
2660.0,35.52
2669.0,33.22
2679.0,51.82
2690.0,70.37
2700.0,44.65
2709.0,9.91
2719.0,10.63
2729.0,34.77
2740.0,57.56
2749.0,63.42
2759.0,68.64
2769.0,74.18
2780.0,58.54
2789.0,45.35
2799.0,55.23
2809.0,63.55
2820.0,43.1
2830.0,9.14
2839.0,24.86
2849.0,79.25
2860.0,77.04
2870.0,24.34
2879.0,5.76
2889.0,32.0
2899.0,55.48
2910.0,61.76
2919.0,76.92
2929.0,98.74
2939.0,76.99
2950.0,-18.09
2959.0,-85.07
2969.0,-12.26
2979.0,84.1
2990.0,72.97
3000.0,28.12
3009.0,16.54
3019.0,22.47
3030.0,38.65
3040.0,56.04
3049.0,50.18
3059.0,7.51
3069.0,-15.65
3080.0,18.14
3089.0,28.74
3099.0,-4.25
3109.0,-8.28
3120.0,6.95
3130.0,-5.9
3139.0,-41.75
3149.0,-79.05
3160.0,-111.91
3170.0,-142.19
3179.0,-154.89
3189.0,-147.27
3200.0,-135.29
3210.0,-120.94
3219.0,-95.72
3229.0,-56.39
3239.0,-33.36
3250.0,-38.16
3259.0,-21.72
3269.0,21.2
3279.0,51.32
3290.0,68.94
3300.0,89.01
3309.0,112.88
3319.0,137.16
3330.0,148.18
3340.0,128.82
3349.0,91.95
3359.0,77.68
3369.0,85.52
3380.0,77.38
3389.0,55.6
3399.0,48.43
3409.0,48.14
3420.0,29.83
3429.0,7.89
3439.0,10.99
3449.0,20.64
3460.0,15.36
3470.0,4.84
3479.0,-7.36
3489.0,-16.37
3500.0,-15.44
3510.0,-13.17
3519.0,-9.15
3529.0,1.86
3539.0,7.61
3550.0,-8.11
3559.0,-39.25
3569.0,-57.18
3579.0,-53.01
3590.0,-37.37
3599.0,-9.41
3609.0,10.42
3619.0,-10.73
3630.0,-54.06
3640.0,-67.98
3649.0,-29.47
3659.0,25.72
3670.0,15.31
3680.0,-85.72
3689.0,-149.41
3699.0,-75.65
3709.0,-4.27
3720.0,-51.74
3729.0,-82.9
3739.0,-26.62
3749.0,-3.55
3760.0,-36.82
3770.0,-37.56
3779.0,-14.07
3789.0,-19.03
3800.0,-29.09
3810.0,-31.81
3819.0,-61.68
3829.0,-102.64
3840.0,-112.63
3850.0,-97.19
3859.0,-70.47
3869.0,-26.71
3879.0,34.39
3890.0,68.19
3899.0,31.49
3909.0,-19.33
3919.0,-20.28
3930.0,2.01
3940.0,15.67
3949.0,23.18
3959.0,23.81
3970.0,7.54
3980.0,-11.84
3989.0,0.15
3999.0,12.37
4009.0,-36.07
4020.0,-93.17
4029.0,-61.55
4039.0,16.76
4049.0,29.23
4060.0,-6.11
4069.0,-2.43
4079.0,21.61
4089.0,0.75
4100.0,-31.25
4110.0,-16.68
4119.0,2.06
4129.0,-15.04
4140.0,-18.36
4150.0,18.69
