Time (ms),Voltage (V)
0.01,46.54
13.34,222.54
26.67,432.41
40.0,444.57
53.34,293.92
66.67,207.34
80.0,205.99
93.33,181.05
106.67,132.37
120.0,111.77
133.33,105.44
146.67,69.75
160.0,10.53
173.34,-28.19
186.67,-32.33
200.0,-32.95
213.33,-52.26
226.66,-73.08
240.0,-86.13
253.33,-113.99
266.66,-151.64
280.0,-165.86
293.33,-162.69
306.66,-167.59
320.0,-179.5
333.33,-187.22
346.66,-180.13
359.99,-156.14
373.33,-131.85
386.66,-119.04
400.0,-111.69
413.32,-103.04
426.66,-87.54
439.99,-68.0
453.33,-65.64
466.66,-86.59
479.99,-106.24
493.32,-112.95
506.66,-121.26
519.99,-132.84
533.32,-128.53
546.66,-101.73
559.99,-64.75
573.32,-27.54
586.66,12.92
599.99,62.88
613.32,104.99
626.65,103.8
639.99,56.7
653.32,2.14
666.66,-30.89
679.99,-51.63
693.32,-71.02
706.65,-66.49
719.99,-36.57
733.32,-23.11
746.66,-24.69
759.99,-10.14
773.32,-9.43
786.65,-52.39
799.99,-86.38
813.32,-67.43
826.65,-34.86
839.98,-32.67
853.32,-54.59
866.65,-78.54
879.98,-90.41
893.31,-94.49
906.65,-109.71
919.98,-128.19
933.32,-122.86
946.64,-104.34
959.98,-103.16
973.32,-115.25
986.65,-122.1
999.98,-129.38
1013.31,-141.56
1026.64,-140.47
1039.98,-117.84
1053.31,-93.34
1066.65,-86.36
1079.98,-85.95
1093.31,-73.86
1106.64,-62.34
1119.98,-58.6
1133.31,-43.56
1146.64,-16.87
1159.98,8.89
1173.31,39.63
1186.64,72.66
1199.97,90.04
1213.3,97.7
1226.64,112.83
1239.98,127.73
1253.3,131.32
1266.64,136.76
1279.97,156.0
1293.31,179.38
1306.64,200.26
1319.97,218.73
1333.31,224.04
1346.64,215.36
1359.97,203.81
1373.3,187.02
1386.64,166.39
1399.97,149.32
1413.3,137.85
1426.64,142.11
1439.97,163.48
1453.3,179.79
1466.64,170.91
1479.96,150.02
1493.3,153.8
1506.64,170.01
1519.96,149.2
1533.3,102.63
1546.64,78.72
1559.96,79.22
1573.3,80.72
1586.63,79.61
1599.96,81.25
1613.3,88.39
1626.63,95.39
1639.96,87.17
1653.3,67.57
1666.63,54.62
1679.96,46.76
1693.3,34.65
1706.63,27.07
1719.96,37.31
1733.29,57.97
1746.63,68.98
1759.96,60.93
1773.3,34.8
1786.62,-0.25
1799.96,-22.4
1813.29,-23.04
1826.63,-22.58
1839.96,-34.48
1853.29,-53.85
1866.62,-68.6
1879.96,-57.81
1893.29,-41.1
1906.62,-72.29
1919.96,-114.95
1933.29,-99.47
1946.62,-108.02
1959.96,-206.3
1973.29,-237.15
1986.62,-101.5
1999.95,39.18
2013.28,45.92
2026.62,-8.81
2039.95,-21.09
2053.28,1.02
2066.62,19.78
2079.96,36.81
2093.28,49.9
2106.62,46.45
2119.95,40.19
2133.29,34.37
2146.62,6.38
2159.95,-21.75
2173.28,-19.39
2186.62,-18.98
2199.95,-36.86
2213.28,-33.35
2226.62,1.38
2239.95,19.97
2253.28,-11.71
2266.61,-60.92
2279.94,-80.34
2293.28,-80.61
2306.61,-94.31
2319.94,-105.43
2333.28,-77.93
2346.62,-30.81
2359.94,-12.86
2373.28,-28.14
2386.61,-50.17
2399.94,-66.67
2413.28,-79.3
2426.61,-88.18
2439.94,-89.98
2453.28,-83.27
2466.61,-71.89
2479.94,-71.04
2493.28,-83.09
2506.61,-85.41
2519.94,-73.98
2533.28,-66.76
2546.6,-63.37
2559.94,-57.2
2573.27,-53.88
2586.6,-46.35
2599.94,-22.38
2613.27,5.58
2626.6,20.87
2639.94,20.63
2653.27,6.43
2666.6,-1.05
2679.94,20.88
2693.27,43.61
2706.6,30.81
2719.94,8.2
2733.27,7.17
2746.6,12.9
2759.93,12.97
2773.27,17.07
2786.6,29.45
2799.93,41.91
2813.27,52.25
2826.6,63.55
2839.93,62.58
2853.26,39.61
2866.6,13.14
2879.94,5.13
2893.26,16.88
2906.6,23.43
2919.93,7.04
2933.26,-1.78
2946.6,14.65
2959.93,20.12
2973.26,3.11
2986.6,-7.89
2999.93,-7.32
3013.26,-4.24
3026.59,3.32
3039.93,14.46
3053.26,27.32
3066.59,41.87
3079.92,53.81
3093.26,57.66
3106.59,47.65
3119.92,21.94
3133.26,-7.03
3146.59,-18.98
3159.92,-11.96
3173.26,-6.01
3186.59,-12.65
3199.92,-15.18
3213.26,0.37
3226.59,16.68
3239.92,16.76
3253.26,6.62
3266.59,-1.97
3279.92,0.41
3293.25,8.75
3306.59,9.59
3319.92,4.47
3333.26,2.2
3346.59,28.87
3359.92,122.32
3373.26,228.61
